Vegetable,RetailPrice
Potatoes,1.0266
Tomatoes,1.0715
"Pinto beans",1.1189
"Kidney beans",1.1208
"Green beans",1.1291
Beets,1.1431
Corn,1.1543
"Great northern beans",1.1583
Carrots,1.1979
"Black beans",1.2387
"Navy beans",1.2738
"Green peas",1.3118
"Turnip greens",1.3154
"Blackeye peas",1.3164
"Collard greens",1.3315
"Mustard greens",1.3367
"Mixed vegetables, peas & carrots",1.4754
"Cabbage, sauerkraut",1.478
"Lima beans",1.4785
Spinach,1.5676
Pumpkin,1.8642
Asparagus,3.4328
Artichoke,3.4498
Olives,5.3496
